volume_number,start_page_label,macropaedia_contents_name,propaedia_name,britannica_title,britannica_url,confidence,source_image_relative_path,notes
15,316,The SOCIAL SCIENCES,,,,draft,,
15,365,SOCIAL STRUCTURE AND CHANGE,,,,draft,,
15,372,SOCIAL WELFARE,,,,draft,,
15,393,Modern SOCIO-ECONOMIC DOCTRINES AND REFORM MOVEMENTS,,,,draft,,
15,421,SCOTTISH ENLIGHTENMENT,,,,draft,,
15,438,SOCRATES,,,,draft,,
15,441,SOILS,,,,draft,,
15,452,The SOLAR SYSTEM,,,,draft,,
15,556,SOUND,,,,draft,,
15,578,SOUTH AMERICA,,,,draft,,
15,634,SOUTH ASIAN ARTS,,,,draft,,
15,711,SOUTHEAST ASIA,,,,draft,,
15,795,SOUTHEAST ASIAN ARTS,,,,draft,,
15,838,SOUTHERN AFRICA,,,,draft,,
16,1,SPAIN,,,,draft,,
16,63,SPANISH LITERATURE,,,,draft,,
16,72,SPEECH,,,,draft,,
16,93,SPONGES: Phylum Porifera,,,,draft,,
16,100,Major Team and Individual SPORTS,,,,draft,,
16,167,SRI LANKA,,,,draft,,
16,181,STALIN,,,,draft,,
16,185,STARS AND STAR CLUSTERS,,,,draft,,
16,217,STATISTICS,,,,draft,,
16,227,The History of the Eurasian STEPPE,,,,draft,,
16,236,SUBATOMIC PARTICLES,,,,draft,,
16,251,The SUDAN,,,,draft,,
16,272,SUPPORTIVE AND CONNECTIVE TISSUES,,,,draft,,
16,317,SURINAME,,,,draft,,
16,321,SWEDEN,,,,draft,,
16,341,SWITZERLAND,,,,draft,,
16,357,SYDNEY,,,,draft,,
16,361,SYRIA,,,,draft,,
16,375,TAIWAN,,,,draft,,
16,383,TAOISM,,,,draft,,
16,397,TAXATION,,,,draft,,
16,422,TEACHING,,,,draft,,
16,440,The History of TECHNOLOGY,,,,draft,,
16,473,TELECOMMUNICATIONS SYSTEMS,,,,draft,,
16,505,TELESCOPES,,,,draft,,
16,521,The Art of the THEATRE,,,,draft,,
16,537,The History of Western THEATRE,,,,draft,,
16,561,THEATRICAL PRODUCTION,,,,draft,,
16,616,THEOLOGY,,,,draft,,
16,619,Principles of THERMODYNAMICS,,,,draft,,
16,645,Thomas Aquinas and THOMISM,,,,draft,,
16,650,THOUGHT AND THOUGHT PROCESSES,,,,draft,,
16,657,TIENTSIN (TIANJIN),,,,draft,,
16,662,TIME,,,,draft,,
16,674,TITIAN,,,,draft,,
16,678,TOKYO-YOKOHAMA METROPOLITAN AREA,,,,draft,,
16,687,TOLSTOY,,,,draft,,
16,692,TOOLS,,,,draft,,
16,717,TOPOLOGY,,,,draft,,
16,741,TORONTO,,,,draft,,
16,744,TORTS,,,,draft,,
16,751,TRANSCAUCASIA,,,,draft,,
16,774,Organ and Tissue TRANSPLANTS,,,,draft,,
16,781,TRANSPORTATION,,,,draft,,
16,889,TRANSPORTATION LAW,,,,draft,,
16,903,TREES,,,,draft,,
16,914,TRIGONOMETRY,,,,draft,,
16,920,TURKEY AND ANCIENT ANATOLIA,,,,draft,,
16,973,UKRAINE,,,,draft,,
16,998,UNION OF SOVIET SOCIALIST REPUBLICS,,,,draft,,
17,138,UNITED NATIONS,,,,draft,,
17,149,UNITED STATES OF AMERICA,,,,draft,,
17,459,UNITED STATES PRESIDENCY AND FIRST LADY,,,,draft,,
17,461,URUGUAY,,,,draft,,
17,468,VENEZUELA,,,,draft,,
17,480,VENICE,,,,draft,,
17,488,VICTORIA and the Victorian Age,,,,draft,,
17,493,VIENNA,,,,draft,,
17,498A,The VIETNAM WAR,,,,draft,,
17,499,VIRGIL,,,,draft,,
17,502,VIRTUAL REALITY,,,,draft,,
17,503,VIRUSES,,,,draft,,
17,509,VOLCANISM,,,,draft,,
17,524,VOLTAIRE,,,,draft,,
17,529,The Technology of WAR,,,,draft,,
17,628,The Theory and Conduct of WAR,,,,draft,,
17,696,WARSAW,,,,draft,,
17,699,George WASHINGTON,,,,draft,,
17,707,"WASHINGTON, D.C.",,,,draft,,
17,718,WELLINGTON,,,,draft,,
17,721,The WEST INDIES,,,,draft,,
17,790,WESTERN AFRICA,,,,draft,,
17,915A,Virginia WOOLF,,,,draft,,
17,916,WorK AND EMPLOYMENT,,,,draft,,
17,961,The WORLD WARS,,,,draft,,
17,1025,WRITING,,,,draft,,
17,1077,YIDDISH LITERATURE,,,,draft,,
17,1083,ZOROASTRIANISM AND PARSIISM,,,,draft,,
